code,group,subGroup,name,spec,unit,price,laborRate,matExclude,note,version,active,updatedAt
AA162.30350,A,AA,가설울타리 설치·해체,"EGI휀스, 지주높이 3.5m이하",m,25288,0.95,TRUE,재료비·기초콘크리트 별도,2026-H2,Y,2026-05-07
AA162.30600,A,AA,가설울타리 설치·해체,"EGI휀스, 지주높이 6.0m이하",m,33258,0.95,TRUE,재료비 별도,2026-H2,Y,2026-05-07
AA270.02010,A,AA,낙하물 방지망 설치·해체,"강관, 3개월이하",m2,11388,0.78,FALSE,3개월초과 보정계수 적용,2026-H2,Y,2026-05-07
AA310.01010,A,AA,강관비계,"10m이하, 3개월이하",m2,25176,0.63,FALSE,보호망 재료비 별도,2026-H2,Y,2026-05-07
AA310.01020,A,AA,강관비계,"10m초과~20m이하, 3개월이하",m2,27848,0.66,FALSE,,2026-H2,Y,2026-05-07
AA310.01030,A,AA,강관비계,"20m초과~30m이하, 3개월이하",m2,30523,0.68,FALSE,,2026-H2,Y,2026-05-07
AA310.02010,A,AA,시스템비계(자재비제외),10m이하,m2,13993,0.97,TRUE,자재·보호망 별도,2026-H2,Y,2026-05-07
AA310.02020,A,AA,시스템비계(자재비제외),10m초과~20m이하,m2,17076,0.97,TRUE,,2026-H2,Y,2026-05-07
AA310.02030,A,AA,시스템비계(자재비제외),20m초과~30m이하,m2,20136,0.97,TRUE,,2026-H2,Y,2026-05-07
AA310.02100,A,AA,경사형 가설계단,"경사형, 3개월이하",m2,123631,0.70,FALSE,높이 6m이하,2026-H2,Y,2026-05-07
AA322.01220,A,AA,강관동바리,"3.5m이하, 3개월이하",m2,14934,0.62,FALSE,설치간격 0.6m 초과,2026-H2,Y,2026-05-07
AA322.01320,A,AA,강관동바리,3.5m초과~4.2m이하,m2,16996,0.66,FALSE,,2026-H2,Y,2026-05-07
AA323.10500,A,AA,시스템 동바리(자재비제외),5m이하,공m3,17312,0.97,TRUE,,2026-H2,Y,2026-05-07
AA323.10600,A,AA,시스템 동바리(자재비제외),5m초과~10m이하,공m3,20924,0.97,TRUE,,2026-H2,Y,2026-05-07
AC210.10000,A,AC,타워크레인 임대료,"T형, 8ton",월,14458982,0.48,FALSE,운반·설치·해체 별도,2026-H2,Y,2026-05-07
AC210.20000,A,AC,타워크레인 임대료,"T형, 10ton",월,15744463,0.44,FALSE,,2026-H2,Y,2026-05-07
AC210.30000,A,AC,타워크레인 임대료,"T형, 12ton",월,16811467,0.41,FALSE,,2026-H2,Y,2026-05-07
AD160.40000,A,AD,현장정리,RC조,m2,14341,0.99,FALSE,연면적 기준,2026-H2,Y,2026-05-07
