id,version,cat,spec,unit,price,region_factor,active,note
1,2026-H2,가설공사,"가설울타리 설치·해체 (EGI휀스, 지주높이 3.5m이하)",m,25288,1.0,Y,AA162.30350 | 노무비율95% | 재료비제외 | 재료비·기초콘크리트 별도
2,2026-H2,가설공사,"가설울타리 설치·해체 (EGI휀스, 지주높이 6.0m이하)",m,33258,1.0,Y,AA162.30600 | 노무비율95% | 재료비제외 | 재료비 별도
3,2026-H2,가설공사,"낙하물 방지망 설치·해체 (강관, 3개월이하)",㎡,11388,1.0,Y,AA270.02010 | 노무비율78% | 재료비포함 | 3개월초과 보정계수 적용
4,2026-H2,가설공사,"강관비계 (10m이하, 3개월이하)",㎡,25176,1.0,Y,AA310.01010 | 노무비율63% | 재료비포함 | 보호망 재료비 별도
5,2026-H2,가설공사,"강관비계 (10m초과~20m이하, 3개월이하)",㎡,27848,1.0,Y,AA310.01020 | 노무비율66% | 재료비포함
6,2026-H2,가설공사,"강관비계 (20m초과~30m이하, 3개월이하)",㎡,30523,1.0,Y,AA310.01030 | 노무비율68% | 재료비포함
7,2026-H2,가설공사,시스템비계(자재비제외) (10m이하),㎡,13993,1.0,Y,AA310.02010 | 노무비율97% | 재료비제외 | 자재·보호망 별도
8,2026-H2,가설공사,시스템비계(자재비제외) (10m초과~20m이하),㎡,17076,1.0,Y,AA310.02020 | 노무비율97% | 재료비제외
9,2026-H2,가설공사,시스템비계(자재비제외) (20m초과~30m이하),㎡,20136,1.0,Y,AA310.02030 | 노무비율97% | 재료비제외
10,2026-H2,가설공사,"경사형 가설계단 (경사형, 3개월이하)",㎡,123631,1.0,Y,AA310.02100 | 노무비율70% | 재료비포함 | 높이 6m이하
11,2026-H2,가설공사,"강관동바리 (3.5m이하, 3개월이하)",㎡,14934,1.0,Y,AA322.01220 | 노무비율62% | 재료비포함 | 설치간격 0.6m 초과
12,2026-H2,가설공사,강관동바리 (3.5m초과~4.2m이하),㎡,16996,1.0,Y,AA322.01320 | 노무비율66% | 재료비포함
13,2026-H2,가설공사,시스템 동바리(자재비제외) (5m이하),m³,17312,1.0,Y,AA323.10500 | 노무비율97% | 재료비제외
14,2026-H2,가설공사,시스템 동바리(자재비제외) (5m초과~10m이하),m³,20924,1.0,Y,AA323.10600 | 노무비율97% | 재료비제외
15,2026-H2,가설공사,"타워크레인 임대료 (T형, 8ton)",월,14458982,1.0,Y,AC210.10000 | 노무비율48% | 재료비포함 | 운반·설치·해체 별도
16,2026-H2,가설공사,"타워크레인 임대료 (T형, 10ton)",월,15744463,1.0,Y,AC210.20000 | 노무비율44% | 재료비포함
17,2026-H2,가설공사,"타워크레인 임대료 (T형, 12ton)",월,16811467,1.0,Y,AC210.30000 | 노무비율41% | 재료비포함
18,2026-H2,가설공사,현장정리 (RC조),㎡,14341,1.0,Y,AD160.40000 | 노무비율99% | 재료비포함 | 연면적 기준
19,2026-H2,가설공사,현장정리 (철골조),㎡,8201,1.0,Y,AD160.20000 | 노무비율99% | 재료비포함
20,2026-H2,가설공사,건축물 보양 (부직포 깔기),㎡,1091,1.0,Y,AD271.01000 | 노무비율42% | 재료비포함
21,2026-H2,가설공사,건축물 보양 (보양지 붙이기),㎡,1845,1.0,Y,AD271.02000 | 노무비율85% | 재료비포함
22,2026-H2,가설공사,건축물 보양 (목재 붙이기),㎡,11859,1.0,Y,AD271.03000 | 노무비율65% | 재료비포함
23,2026-H2,철근콘크리트공사,"합판거푸집 (간단, 0~7m)",㎡,42066,1.0,Y,DA001.01000 | 노무비율58% | 재료비포함 | 매트기초(전용6회)
24,2026-H2,철근콘크리트공사,"합판거푸집 (보통, 0~7m)",㎡,48034,1.0,Y,DA001.02000 | 노무비율59% | 재료비포함 | 슬래브·일반벽체(전용4회)
25,2026-H2,철근콘크리트공사,"합판거푸집 (복잡, 0~7m)",㎡,65018,1.0,Y,DA001.03000 | 노무비율64% | 재료비포함 | 보·기둥(전용3회)
26,2026-H2,철근콘크리트공사,"합판거푸집 (소규모·매우복잡, 0~7m)",㎡,75497,1.0,Y,DA001.04000 | 노무비율62% | 재료비포함 | 조적턱·창호턱(전용2회)
27,2026-H2,철근콘크리트공사,"합판거푸집 (제물치장, 0~7m)",㎡,118131,1.0,Y,DA001.05000 | 노무비율58% | 재료비포함 | 7m초과 매3m마다 노무비 10% 가산
28,2026-H2,철근콘크리트공사,"유로폼 거푸집 (간단, 0~7m)",㎡,34651,1.0,Y,DA402.01000 | 노무비율81% | 재료비포함
29,2026-H2,철근콘크리트공사,"유로폼 거푸집 (보통, 0~7m)",㎡,39551,1.0,Y,DA402.02000 | 노무비율81% | 재료비포함 | 일반 내외부 벽체
30,2026-H2,철근콘크리트공사,"유로폼 거푸집 (복잡, 0~7m)",㎡,51378,1.0,Y,DA402.03000 | 노무비율82% | 재료비포함
31,2026-H2,철근콘크리트공사,알루미늄폼 설치·해체 (셋팅층),㎡,39522,1.0,Y,DA404.00100 | 노무비율93% | 재료비제외 | 자재·동바리 재료비 별도
32,2026-H2,철근콘크리트공사,알루미늄폼 설치·해체 (일반층),㎡,16056,1.0,Y,DA404.00200 | 노무비율100% | 재료비제외
33,2026-H2,철근콘크리트공사,알루미늄폼 설치·해체 (마감층),㎡,30329,1.0,Y,DA404.00300 | 노무비율100% | 재료비제외
34,2026-H2,철근콘크리트공사,갱폼 설치·해체 (셋팅층),㎡,56930,1.0,Y,DA403.00100 | 노무비율80% | 재료비제외 | 타워크레인 경비 별도
