cat,mat,lab,exp,note
가설공사,0.45,0.48,0.07,
철근콘크리트공사,0.55,0.38,0.07,
철골공사,0.60,0.33,0.07,
조적공사,0.50,0.44,0.06,
미장공사,0.30,0.63,0.07,
방수공사,0.50,0.43,0.07,
목공사,0.55,0.38,0.07,
금속공사,0.55,0.38,0.07,
지붕공사,0.50,0.43,0.07,
창호공사,0.65,0.28,0.07,
유리공사,0.60,0.33,0.07,
타일공사,0.45,0.48,0.07,
도장공사,0.40,0.53,0.07,
수장공사,0.55,0.38,0.07,
철거공사,0.05,0.87,0.08,
위생·급배수,0.50,0.43,0.07,
냉난방·환기,0.55,0.38,0.07,
배관공사,0.45,0.48,0.07,
보온공사,0.50,0.43,0.07,
소방설비,0.55,0.38,0.07,
전기공사(개산),0.45,0.48,0.07,
통신·홈네트워크(개산),0.40,0.53,0.07,
